item_no,print_date,start_time,end_time,specimen_id,replicate_no,infill_density_percent,infill_pattern,material_type,layer_height_mm,nozzle_temp_c,bed_temp_c,wall_count,top_layers,bottom_layers,print_time_slicer,print_time_actual,actual_specimen_mass_g,slicer_specimen_mass_g,energy_used_kwh,ultimate_stress_mpa,strain_percent,remarks
1,4/14/2026,15:15:57,15:23:30,PLA_10_R1,1,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:33,1.4,1.44,0.013,35.8098,1.68293,
2,4/14/2026,15:25:15,15:33:12,PLA_10_R2,2,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:57,1.4,1.44,0.013,33.5701,1.92406,
3,4/14/2026,15:34:26,15:42:32,PLA_10_R3,3,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:08:06,1.4,1.44,0.013,36.1737,1.59461,
4,4/14/2026,15:43:59,15:51:56,PLA_10_R4,4,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:57,1.41,1.44,0.013,36.8314,1.54971,
5,4/14/2026,15:53:29,16:01:25,PLA_10_R5,5,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:56,1.41,1.44,0.012,34.4062,1.69792,
6,4/14/2026,16:47:31,16:55:32,PLA_20_R1,1,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:01,1.46,1.49,0.011,39.4499,1.7908,
7,4/14/2026,16:56:54,17:04:55,PLA_20_R2,2,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:01,1.46,1.49,0.012,40.0884,1.74284,
8,4/14/2026,17:06:30,17:14:31,PLA_20_R3,3,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:01,1.46,1.49,0.013,39.4338,1.62457,
9,4/14/2026,17:16:11,17:24:19,PLA_20_R4,4,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:08,1.47,1.49,0.012,39.0098,1.69346,
10,4/14/2026,17:27:02,17:35:03,PLA_20_R5,5,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:01,1.47,1.49,0.013,37.7365,1.71288,
11,4/15/2026,08:24:21,08:32:35,PLA_30_R1,1,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:14,1.51,1.52,0.013,40.4812,1.75337,
12,4/15/2026,08:37:41,08:45:43,PLA_30_R2,2,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:02,1.51,1.52,0.015,37.8461,1.88064,
13,4/15/2026,08:50:37,08:58:38,PLA_30_R3,3,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:01,1.51,1.52,0.015,40.1005,1.6785,
14,4/15/2026,09:37:46,09:45:46,PLA_30_R4,4,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:00,1.51,1.52,0.015,39.6049,1.90756,
15,4/15/2026,10:01:30,10:09:37,PLA_30_R5,5,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:07,1.51,1.52,0.015,37.5355,1.97051,
16,4/15/2026,12:09:16,12:17:28,PLA_40_R1,1,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:12,1.54,1.55,0.017,38.4441,1.99894,
17,4/15/2026,12:20:39,12:28:43,PLA_40_R2,2,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:04,1.54,1.55,0.015,40.3547,1.86416,
18,4/15/2026,12:32:18,12:40:21,PLA_40_R3,3,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:03,1.55,1.55,0.015,39.9249,1.87609,
19,4/15/2026,13:18:31,13:26:34,PLA_40_R4,4,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:03,1.54,1.55,0.016,40.7489,1.84765,
20,4/15/2026,13:43:12,13:51:05,PLA_40_R5,5,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:07:53,1.54,1.55,0.017,40.631,1.77432,
21,4/15/2026,14:51:15,14:59:26,PLA_50_R1,1,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:11,1.57,1.59,0.015,39.622,2.20555,
22,4/15/2026,15:03:22,15:11:26,PLA_50_R2,2,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:04,1.57,1.59,0.016,41.6205,2.22201,
23,4/15/2026,15:14:37,15:22:47,PLA_50_R3,3,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:10,1.58,1.59,0.015,40.9604,2.25349,
24,4/15/2026,15:26:23,15:34:41,PLA_50_R4,4,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:18,1.57,1.59,0.015,40.5146,2.15472,
25,4/15/2026,15:38:50,15:46:59,PLA_50_R5,5,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:09,1.58,1.59,0.015,41.3228,2.09628,
26,4/15/2026,16:53:58,17:02:26,PLA_60_R1,1,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:28,1.6,1.62,0.017,39.7622,2.09627,
27,4/15/2026,17:07:07,17:15:23,PLA_60_R2,2,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:16,1.6,1.62,0.015,40.1057,2.56347,
28,4/15/2026,17:18:24,17:26:41,PLA_60_R3,3,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:17,1.6,1.62,0.017,39.0009,2.38675,
29,4/15/2026,17:30:01,17:38:17,PLA_60_R4,4,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:16,1.6,1.62,0.016,41.4178,2.40172,
30,4/15/2026,17:41:26,17:49:46,PLA_60_R5,5,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:20,1.6,1.62,0.017,52.5981,2.90933,
31,4/16/2026,08:16:39,08:25:01,PLA_70_R1,1,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:39,00:08:22,1.62,1.64,0.017,38.8435,2.45568,
32,4/16/2026,08:30:48,08:39:11,PLA_70_R2,2,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:39,00:08:23,1.62,1.64,0.018,38.2638,2.40171,
33,4/16/2026,09:06:56,09:15:21,PLA_70_R3,3,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:39,00:08:25,1.62,1.64,0.02,39.2374,2.28345,
34,4/16/2026,09:18:46,09:27:13,PLA_70_R4,4,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:39,00:08:27,1.63,1.64,0.018,50.0808,2.836,
35,4/16/2026,09:31:14,09:39:37,PLA_70_R5,5,70,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:39,00:08:23,1.63,1.64,0.017,38.6094,2.43016,
36,4/16/2026,09:43:06,09:51:44,PLA_80_R1,1,80,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:48,00:08:38,1.67,1.7,0.017,40.4904,2.56495,
37,4/16/2026,09:55:02,10:03:37,PLA_80_R2,2,80,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:48,00:08:35,1.67,1.7,0.017,41.2695,2.71618,
38,4/16/2026,10:09:45,10:18:19,PLA_80_R3,3,80,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:48,00:08:34,1.67,1.7,0.019,40.9455,2.44515,
39,4/16/2026,10:29:23,10:37:57,PLA_80_R4,4,80,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:48,00:08:34,1.68,1.7,0.019,39.9616,2.75961,
40,4/16/2026,10:44:32,10:53:05,PLA_80_R5,5,80,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:48,00:08:33,1.68,1.7,0.02,40.4077,2.56347,
41,4/16/2026,12:10:29,12:19:09,PLA_90_R1,1,90,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:51,00:08:40,1.7,1.73,0.023,41.9948,2.59489,
42,4/16/2026,12:25:10,12:32:20,PLA_90_R2,2,90,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:51,00:07:10,1.7,1.73,0.018,41.7801,2.68473,
43,4/16/2026,12:51:31,13:00:12,PLA_90_R3,3,90,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:51,00:08:41,1.71,1.73,0.022,41.5808,2.57699,
