item_no,print_date,start_time,end_time,specimen_id,replicate_no,infill_density_percent,infill_pattern,material_type,layer_height_mm,nozzle_temp_c,bed_temp_c,wall_count,top_layers,bottom_layers,print_time_slicer,print_time_actual,actual_specimen_mass_g,slicer_specimen_mass_g,energy_used_kwh,ultimate_stress_mpa,strain_percent,remarks
1,4/14/2026,15:53:29,16:01:25,PLA_10_R1,1,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:56,1.41,1.44,0.012,34.4062,1.69792,
2,4/14/2026,16:04:55,16:13:52,PLA_10_R2,2,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:57,1.43,1.44,0.014,30.8888,1.978,
3,4/14/2026,16:14:35,16:22:33,PLA_10_R3,3,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:58,1.41,1.44,0.013,38.5606,1.87316,
4,4/14/2026,16:24:24,16:32:22,PLA_10_R4,4,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:58,1.43,1.44,0.013,35.2127,1.63653,
5,4/14/2026,16:37:46,16:45:44,PLA_10_R5,5,10,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:13,00:07:58,1.41,1.44,0.014,37.7968,1.86416,
6,4/14/2026,17:39:13,17:47:14,PLA_20_R1,1,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:01,1.47,1.49,0.015,34.8242,1.72938,
7,4/14/2026,17:50:30,17:58:33,PLA_20_R2,2,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:03,1.47,1.49,0.015,38.3593,1.52727,
8,4/14/2026,18:02:22,18:10:24,PLA_20_R3,3,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:02,1.48,1.49,0.014,37.4826,1.65602,
9,4/14/2026,18:13:55,18:21:55,PLA_20_R4,4,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:08:00,1.48,1.49,0.015,38.4941,1.45683,
10,4/14/2026,18:25:33,18:33:32,PLA_20_R5,5,20,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:15,00:07:59,1.48,1.49,0.015,39.2604,1.68294,
11,4/15/2026,09:51:11,09:57:50,PLA_30_R1,1,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:01,1.5,1.52,0.014,38.2349,2.04232,
12,4/15/2026,10:01:30,10:09:37,PLA_30_R2,2,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:07,1.51,1.52,0.015,37.5355,1.97051,
13,4/15/2026,10:13:22,10:21:23,PLA_30_R3,3,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:01,1.5,1.52,0.016,39.788,2.17709,
14,4/15/2026,10:25:31,10:33:36,PLA_30_R4,4,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:05,1.51,1.52,0.015,38.6742,1.79975,
15,4/15/2026,10:37:49,10:45:49,PLA_30_R5,5,30,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:16,00:08:00,1.51,1.52,0.016,39.3647,1.89562,
16,4/15/2026,13:43:12,13:51:05,PLA_40_R1,1,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:07:53,1.54,1.55,0.017,40.631,1.77432,
17,4/15/2026,13:54:41,14:02:47,PLA_40_R2,2,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:06,1.54,1.55,0.015,40.4484,1.8941,
18,4/15/2026,14:08:53,14:17:03,PLA_40_R3,3,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:10,1.54,1.55,0.016,40.9986,2.1487,
19,4/15/2026,14:20:51,14:28:55,PLA_40_R4,4,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:04,1.54,1.55,0.015,40.2708,2.06785,
20,4/15/2026,14:33:11,14:41:21,PLA_40_R5,5,40,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:18,00:08:10,1.54,1.55,0.016,37.7883,2.20112,
21,4/15/2026,15:51:27,15:59:35,PLA_50_R1,1,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:08,1.57,1.59,0.017,38.7708,2.29688,
22,4/15/2026,16:02:48,16:10:59,PLA_50_R2,2,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:11,1.58,1.59,0.014,40.717,2.15916,
23,4/15/2026,16:15:05,16:23:17,PLA_50_R3,3,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:12,1.58,1.59,0.016,40.2757,1.99893,
24,4/15/2026,16:26:20,16:34:36,PLA_50_R4,4,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:16,1.57,1.59,0.016,40.9054,2.04385,
25,4/15/2026,16:37:47,16:45:57,PLA_50_R5,5,50,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:26,00:08:10,1.57,1.59,0.015,39.2355,2.01392,
26,4/16/2026,07:13:43,07:22:07,PLA_60_R1,1,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:24,1.6,1.62,0.02,38.8222,2.29244,
27,4/16/2026,07:27:03,07:35:22,PLA_60_R2,2,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:19,1.6,1.62,0.017,40.0306,2.20555,
28,4/16/2026,07:40:38,07:48:57,PLA_60_R3,3,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:19,1.6,1.62,0.017,38.1731,2.3553,
29,4/16/2026,07:52:30,08:00:51,PLA_60_R4,4,60,gyroid,Sunlu PLA,0.2,220,50,2,5,5,00:03:30,00:08:21,1.6,1.62,0.018,37.7766,2.27894,
